feature,importance
cat__dst_ip_10.70.0.10,3.191745073785235e-05
cat__dst_ip_128.116.50.3,3.171528404140382e-05
cat__src_ip_10.70.0.16,3.133884084328872e-05
cat__src_mac_62:ff:a9:97:98:3d,3.1316614911066906e-05
cat__dst_ip_10.70.0.7,3.1296318997338886e-05
cat__src_ip_10.60.0.8,3.092390638333206e-05
cat__dst_oui_0e:ff:83,3.065915029357574e-05
cat__dst_ip_10.100.200.10,2.987383403372895e-05
cat__src_ip_10.70.0.13,2.8440350235982545e-05
cat__dst_ip_10.60.0.9,2.826984721509742e-05
cat__src_ip_10.60.0.5,2.8169844624587997e-05
cat__src_oui_9a:a4:27,2.7138097193049063e-05
cat__src_oui_62:ff:a9,2.665950080619376e-05
cat__src_oui_b6:f0:40,2.6086912274588273e-05
cat__src_ip_10.119.254.121,2.6042491052727163e-05
cat__dst_ip_10.70.0.9,2.4934777942330396e-05
cat__src_ip_192.168.41.45,2.3671127934389317e-05
cat__src_ip_10.70.0.15,2.327896899733116e-05
cat__src_ip_10.70.0.14,2.2923557893785484e-05
cat__src_ip_10.70.0.19,2.2519552135177584e-05
cat__src_ip_103.232.241.2,1.9822558098747983e-05
cat__src_ip_192.168.8.17,1.797010010920169e-05
cat__dst_ip_10.60.0.8,1.774129572908082e-05
cat__src_mac_06:a3:db:64:0b:c9,1.735684008686941e-05
cat__dst_ip_18.66.41.104,1.68876180899414e-05
cat__src_mac_b6:f0:40:2c:43:18,1.652302975642941e-05
cat__src_ip_10.70.0.22,1.5921480265082486e-05
cat__src_ip_10.61.0.2,1.5127969908696876e-05
cat__src_ip_10.70.0.25,1.4990557382055824e-05
cat__src_ip_10.61.0.4,1.4983453878173757e-05
cat__src_ip_10.60.0.1,1.4688757925450339e-05
cat__dst_ip_192.0.78.9,1.440771648715184e-05
cat__dst_ip_10.60.0.7,1.4055743617704693e-05
cat__dst_ip_10.60.0.10,1.3858379703388503e-05
cat__dst_mac_56:eb:16:9c:da:6a,1.3250189645808679e-05
cat__src_mac_5e:fe:d9:e0:ef:2d,1.311844877779011e-05
cat__src_ip_10.255.221.229,1.2978383803034217e-05
cat__dst_ip_23.38.57.156,1.2345340891009624e-05
cat__dst_ip_10.60.0.2,1.233853652946813e-05
cat__src_ip_192.168.50.1,1.2289207548042541e-05
cat__dst_ip_18.66.41.57,1.2241064503566788e-05
cat__dst_ip_10.60.0.5,1.1605151809331148e-05
cat__dst_ip_106.10.236.137,1.1558779076004725e-05
cat__dst_ip_18.66.41.74,1.1172772663256038e-05
cat__dst_oui_ae:15:49,1.0577840479219361e-05
cat__src_ip_10.70.0.11,1.0512000861544716e-05
cat__src_ip_10.61.0.5,1.021588824097079e-05
cat__dst_ip_192.0.78.17,1.0198910578023822e-05
cat__dst_ip_10.60.0.6,1.0012875255114108e-05
cat__dst_ip_157.240.23.174,9.950417704550806e-06
cat__src_oui_5e:fe:d9,9.791556311662064e-06
cat__src_ip_10.100.200.1,9.670976805325508e-06
cat__server_fingerprint_f4febc55ea12b31ae17cfb7e614afda8,9.130134547378371e-06
cat__dst_ip_106.10.248.151,8.961135118074758e-06
cat__src_ip_10.100.200.10,8.946868571647382e-06
cat__dst_ip_23.12.226.5,8.739072691789115e-06
cat__dst_ip_18.66.41.90,8.261249339377032e-06
cat__src_ip_10.61.0.6,8.172201330517083e-06
cat__dst_ip_36.51.224.126,7.900204438865417e-06
cat__server_fingerprint_907bf3ecef1c987c889946b737b43de8,7.225455450564709e-06
cat__dst_ip_184.28.173.51,7.0021783285302145e-06
cat__src_ip_10.100.200.25,6.970400973869025e-06
cat__src_oui_f6:0d:74,6.937104259636557e-06
cat__dst_ip_23.65.124.98,6.841703838235305e-06
cat__dst_ip_208.82.238.145,6.6408472950577255e-06
cat__server_fingerprint_d90f617e08aa8f243bb5a988a9fe32d1,6.43475256103758e-06
cat__dst_ip_96.17.194.250,6.433047351239137e-06
cat__application_category_name_Media,6.317307110872714e-06
cat__dst_ip_151.101.195.1,5.741332214480754e-06
cat__application_category_name_Music,5.701507053670025e-06
cat__src_mac_f6:0d:74:3f:08:66,5.611935861129977e-06
cat__requested_server_name_etsy.com,5.6067259774933354e-06
cat__requested_server_name_m365.cloud.microsoft,5.520390220175949e-06
cat__dst_ip_208.82.238.129,5.479307089297082e-06
cat__dst_ip_10.100.200.23,5.465207388590002e-06
cat__server_fingerprint_a2c05b7498f29a65608835b44035c0c5,5.43319684913271e-06
cat__dst_oui_a2:48:1d,5.2958816674719524e-06
cat__dst_ip_108.158.57.229,5.237586003274316e-06
cat__dst_mac_f6:0d:74:3f:08:66,5.217405927069471e-06
cat__src_oui_ae:15:49,5.195794561267969e-06
cat__dst_oui_33:33:00,5.160184148228613e-06
cat__src_ip_10.100.200.216,5.0503297569761e-06
cat__dst_ip_10.60.0.1,5.0378952851986515e-06
cat__dst_ip_18.161.229.44,5.013957611646105e-06
cat__requested_server_name_www.adobe.com,4.971130200186602e-06
cat__dst_ip_151.101.129.224,4.962955147689523e-06
cat__requested_server_name_www.airbnb.co.in,4.897716963936578e-06
cat__src_ip_10.255.222.229,4.881703938620169e-06
cat__src_oui_32:dc:f9,4.849618341427357e-06
cat__dst_ip_151.101.2.137,4.842513549167818e-06
cat__dst_ip_52.84.150.60,4.753785161050263e-06
cat__dst_oui_f6:0d:74,4.671405998801364e-06
cat__dst_ip_ff02::2,4.577358095924489e-06
cat__dst_ip_49.44.178.41,4.5753155199163195e-06
cat__application_name_TLS.Wikipedia,4.574193050780742e-06
