feature,chi2,p_value
cat__server_fingerprint_d90f617e08aa8f243bb5a988a9fe32d1,125.79348448907311,9.87019446696249e-25
cat__dst_ip_10.70.0.24,125.14938271606326,1.3483505003968165e-24
cat__dst_ip_10.70.0.19,125.14938271606326,1.3483505003968165e-24
cat__dst_ip_10.70.0.11,125.14938271606326,1.3483505003968165e-24
cat__application_category_name_Collaborative,119.15875530059166,2.447614374514601e-23
cat__src_ip_192.168.8.17,113.59913668483503,3.5909558607709685e-22
cat__dst_ip_10.70.0.12,110.4259259259382,1.6599508629280869e-21
cat__dst_ip_10.70.0.23,110.4259259259382,1.6599508629280869e-21
cat__dst_ip_10.70.0.25,110.4259259259382,1.6599508629280869e-21
cat__application_name_RTP,110.41524347546013,1.6685237313407263e-21
cat__dst_ip_10.70.0.18,103.06419753087565,5.752686668819728e-20
cat__requested_server_name_adobe.com,103.06419753087565,5.752686668819728e-20
cat__dst_ip_10.70.0.17,103.06419753087565,5.752686668819728e-20
cat__application_name_TLS.NetFlix,100.39136849321552,2.0791876693853201e-19
cat__dst_ip_10.70.0.22,95.7024691358131,1.9741307461069146e-18
cat__dst_ip_10.70.0.16,95.7024691358131,1.9741307461069146e-18
cat__dst_ip_10.70.0.15,95.7024691358131,1.9741307461069146e-18
cat__src_ip_10.61.0.5,95.07015833622489,2.6732725134026507e-18
cat__requested_server_name_10.100.200.4,92.97390666798708,7.299344365896518e-18
cat__requested_server_name_www.blogger.com,90.15846045411307,2.808820517705643e-17
cat__dst_ip_10.70.0.13,88.34074074075053,6.697951391242255e-17
cat__application_name_TLS.Instagram,88.34074074075053,6.697951391242255e-17
cat__requested_server_name_www.microsoft.com,88.34074074075053,6.697951391242255e-17
cat__dst_ip_47.103.24.173,88.34074074075053,6.697951391242255e-17
cat__application_name_TLS.Facebook,87.82565229943398,8.566983632109624e-17
cat__dst_ip_10.60.0.8,82.98266066562238,8.636848905443804e-16
cat__requested_server_name_dropbox.com,81.6989833643219,1.5918034980430604e-15
cat__dst_ip_192.0.77.40,81.6989833643219,1.5918034980430604e-15
cat__application_name_TLS.Dropbox,81.6989833643219,1.5918034980430604e-15
cat__requested_server_name_www.dropbox.com,81.6989833643219,1.5918034980430604e-15
cat__application_name_TLS.Google,81.6989833643219,1.5918034980430604e-15
cat__dst_ip_162.125.81.18,81.6989833643219,1.5918034980430604e-15
cat__dst_oui_b6:f0:40,80.979012345688,2.2424855389377995e-15
cat__dst_mac_b6:f0:40:2c:43:18,80.979012345688,2.2424855389377995e-15
cat__dst_ip_23.200.56.195,78.40057000962683,7.64239454735959e-15
cat__application_category_name_Media,77.83780870376349,9.984682988159753e-15
cat__requested_server_name_www.quora.com,76.52586140991727,1.861390076466961e-14
cat__requested_server_name_quora.com,76.52586140991727,1.861390076466961e-14
cat__application_name_TLS.TikTok,75.61955953837638,2.86129006930415e-14
cat__server_fingerprint_a2c05b7498f29a65608835b44035c0c5,75.61955953837638,2.86129006930415e-14
cat__dst_ip_192.168.51.14,75.61955953837638,2.86129006930415e-14
cat__requested_server_name_newslab.iith.ac.in,75.61955953837638,2.86129006930415e-14
cat__src_ip_171.161.102.100,74.449346775333,4.982926245896756e-14
cat__dst_ip_13.107.6.156,74.449346775333,4.982926245896756e-14
cat__application_name_TLS.Microsoft365,68.98369651556658,6.606211882327886e-13
cat__requested_server_name_www.imdb.com,68.98369651556658,6.606211882327886e-13
cat__requested_server_name_imdb.com,68.98369651556658,6.606211882327886e-13
cat__dst_ip_10.60.0.7,68.56082602329732,8.06476821246069e-13
cat__dst_ip_10.70.0.14,66.25555555556292,2.3897235172918836e-12
cat__src_ip_10.255.221.229,65.26593315911593,3.806859111566261e-12
cat__requested_server_name_www.wikipedia.org,63.871169328058315,7.332511305759828e-12
cat__requested_server_name_www.allrecipes.com,63.871169328058315,7.332511305759828e-12
cat__dst_ip_10.60.0.1,63.871169328058315,7.332511305759828e-12
cat__requested_server_name_allrecipes.com,63.871169328058315,7.332511305759828e-12
cat__requested_server_name_wikipedia.org,63.871169328058315,7.332511305759828e-12
cat__dst_ip_199.232.212.194,63.165976802203716,1.0210408773031256e-11
cat__requested_server_name_geo.craigslist.org,63.165976802203716,1.0210408773031256e-11
cat__requested_server_name_walmart.com,63.165976802203716,1.0210408773031256e-11
cat__dst_ip_57.144.176.1,63.165976802203716,1.0210408773031256e-11
cat__requested_server_name_indore.craigslist.org,63.165976802203716,1.0210408773031256e-11
cat__dst_ip_204.79.197.219,63.165976802203716,1.0210408773031256e-11
cat__requested_server_name_dailymotion.com,63.165976802203716,1.0210408773031256e-11
cat__application_name_TLS.Dailymotion,63.165976802203716,1.0210408773031256e-11
cat__requested_server_name_craigslist.org,63.165976802203716,1.0210408773031256e-11
cat__dst_ip_142.250.195.105,63.165976802203716,1.0210408773031256e-11
cat__requested_server_name_www.facebook.com,63.165976802203716,1.0210408773031256e-11
cat__requested_server_name_www.craigslist.org,63.165976802203716,1.0210408773031256e-11
cat__requested_server_name_www.walmart.com,63.165976802203716,1.0210408773031256e-11
cat__application_name_TLS.Tumblr,63.165976802203716,1.0210408773031256e-11
cat__requested_server_name_www.paypal.com,63.165976802203716,1.0210408773031256e-11
cat__dst_ip_195.8.215.136,63.165976802203716,1.0210408773031256e-11
cat__src_ip_10.100.200.1,62.819098633306204,1.2015319083939537e-11
cat__src_ip_192.168.50.1,62.819098633306204,1.2015319083939537e-11
cat__application_category_name_Music,60.58087042068185,3.4297912490856036e-11
cat__requested_server_name_roblox.com,58.9845437077347,7.235782251460121e-11
cat__requested_server_name_www.roblox.com,58.9845437077347,7.235782251460121e-11
cat__requested_server_name_uber.com,58.9845437077347,7.235782251460121e-11
cat__requested_server_name_www.uber.com,58.9845437077347,7.235782251460121e-11
cat__dst_ip_69.48.218.2,58.9845437077347,7.235782251460121e-11
cat__dst_ip_35.201.95.83,58.893827160500365,7.549057114486465e-11
cat__dst_ip_162.159.152.17,58.893827160500365,7.549057114486465e-11
cat__application_name_TLS.Twitch,58.893827160500365,7.549057114486465e-11
cat__requested_server_name_www.bilibili.com,58.893827160500365,7.549057114486465e-11
cat__dst_ip_23.48.50.56,58.893827160500365,7.549057114486465e-11
cat__dst_ip_151.101.130.137,58.893827160500365,7.549057114486465e-11
cat__requested_server_name_bilibili.com,58.893827160500365,7.549057114486465e-11
cat__requested_server_name_tinder.com,58.893827160500365,7.549057114486465e-11
cat__src_ip_52.30.58.64,58.893827160500365,7.549057114486465e-11
cat__requested_server_name_live.com,58.893827160500365,7.549057114486465e-11
cat__requested_server_name_outlook.live.com,58.893827160500365,7.549057114486465e-11
cat__dst_ip_204.79.197.212,58.893827160500365,7.549057114486465e-11
cat__dst_ip_208.82.238.241,58.893827160500365,7.549057114486465e-11
cat__application_name_TLS.HBO,58.893827160500365,7.549057114486465e-11
cat__dst_ip_199.232.105.21,58.893827160500365,7.549057114486465e-11
cat__requested_server_name_bbc.com,56.71466965378228,2.086761595276648e-10
cat__requested_server_name_www.bbc.com,56.71466965378228,2.086761595276648e-10
cat__application_name_TLS.Spotify,52.717792433701646,1.3372844591897828e-09
cat__dst_ip_35.186.224.24,52.717792433701646,1.3372844591897828e-09
cat__src_oui_0e:0e:1e,52.38758243954309,1.5583945403641131e-09
cat__src_mac_0e:0e:1e:7a:ed:47,52.38758243954309,1.5583945403641131e-09
cat__requested_server_name_www.bestbuy.com,50.19568424660776,4.294988777266131e-09
cat__dst_ip_204.79.197.203,50.19568424660776,4.294988777266131e-09
cat__requested_server_name_fandom.com,50.19568424660776,4.294988777266131e-09
cat__requested_server_name_www.fandom.com,50.19568424660776,4.294988777266131e-09
cat__requested_server_name_www.netflix.com,50.19568424660776,4.294988777266131e-09
cat__dst_ip_20.204.244.192,50.19568424660776,4.294988777266131e-09
cat__requested_server_name_msn.com,50.19568424660776,4.294988777266131e-09
cat__requested_server_name_bestbuy.com,50.19568424660776,4.294988777266131e-09
cat__requested_server_name_netflix.com,50.19568424660776,4.294988777266131e-09
cat__requested_server_name_www.msn.com,50.19568424660776,4.294988777266131e-09
cat__requested_server_name_duckduckgo.com,50.19568424660776,4.294988777266131e-09
cat__requested_server_name_zillow.com,45.079230227056534,4.5135817170668846e-08
cat__requested_server_name_www.refinery29.com,45.079230227056534,4.5135817170668846e-08
cat__dst_ip_61.135.164.50,45.079230227056534,4.5135817170668846e-08
cat__requested_server_name_www.usatoday.com,45.079230227056534,4.5135817170668846e-08
cat__requested_server_name_www.zillow.com,45.079230227056534,4.5135817170668846e-08
cat__dst_ip_52.94.237.74,45.079230227056534,4.5135817170668846e-08
cat__requested_server_name_usatoday.com,45.079230227056534,4.5135817170668846e-08
cat__dst_ip_47.246.173.237,45.079230227056534,4.5135817170668846e-08
cat__requested_server_name_accounts.google.com,45.079230227056534,4.5135817170668846e-08
cat__requested_server_name_www.booking.com,45.079230227056534,4.5135817170668846e-08
cat__requested_server_name_aol.com,45.079230227056534,4.5135817170668846e-08
